length,year,format,object_number
2412,2001,jpg,AK-MAK-1117
1776,2002,jpg,AK-MAK-1188
1797,2001,jpg,AK-MAK-1237
2058,2002,jpg,AK-MAK-1291
1869,2001,jpg,AK-MAK-1307
1709,2001,jpg,AK-MAK-1318
2436,2001,jpg,AK-MAK-1462
2637,2001,jpg,AK-MAK-1464-A
2013,2001,jpg,AK-MAK-156
1546,2002,jpg,AK-MAK-162
2127,2001,jpg,MAK-178
2339,2002,jpg,AK-MAK-187
2832,2001,jpg,AK-MAK-232-A
1905,2001,jpg,AK-MAK-239
2090,2001,jpg,AK-MAK-240
2300,2001,jpg,AK-MAK-247
2107,2001,jpg,AK-MAK-251
1892,2001,jpg,AK-MAK-311
1672,2001,jpg,AK-MAK-314
1897,2001,jpg,AK-MAK-51
2130,2002,jpg,AK-MAK-524-A
1622,2001,jpg,AK-MAK-559
1616,2001,jpg,AK-MAK-590
1569,2002,jpg,AK-MAK-615
2458,2001,jpg,AK-MAK-65
1807,2001,jpg,AK-MAK-675
2238,2001,jpg,AK-MAK-682
2200,2003,jpg,AK-MAK-701
2216,2001,jpg,AK-MAK-71
2388,2002,jpg,AK-MAK-84
2124,2001,jpg,AK-MAK-9
2279,2003,jpg,AK-NM-12249
2088,2001,jpg,AK-NM-6462
2102,2001,jpg,AK-NM-6520
3788,2003,jpg,AK-NM-6620
2075,2002,jpg,AK-NM-7050
2131,2002,jpg,AK-NM-7060
2137,2002,jpg,AK-NM-7088
8916,2003,jpg,AK-RAK-1968-1-A
1910,2002,jpg,AK-RAK-1988-18
1729,2001,jpg,AK-RAK-1988-2
1843,2001,jpg,AK-RAK-1989-2
1287,2003,jpg,AK-RAK-1990-17
1851,2001,jpg,AK-RAK-1990-3
1672,2001,jpg,AK-RAK-1991-10
1955,2002,jpg,AK-RAK-1992-1
2208,2002,jpg,AK-RAK-1997-1
1660,2002,jpg,AK-RAK-2000-15
3322,2002,jpg,AK-RBK-1965-88
7629,2004,jpg,AK-MAK-1231
4295,2004,jpg,AK-MAK-1271
2556,2004,jpg,AK-MAK-1271
8526,2004,jpg,AK-MAK-1291
9843,2004,jpg,AK-MAK-187
13834,2004,jpg,AK-MAK-187
6697,2004,jpg,AK-MAK-187
4239,2004,jpg,AK-MAK-239
6119,2004,jpg,AK-MAK-239
4696,2004,jpg,AK-MAK-247
6204,2004,jpg,AK-MAK-247
4550,2004,jpg,AK-MAK-248
5585,2004,jpg,AK-MAK-248
4400,2004,jpg,AK-MAK-251
8070,2004,jpg,AK-MAK-251
7935,2004,jpg,AK-MAK-311
6033,2004,jpg,AK-MAK-389
2205,2004,jpg,AK-MAK-507
4075,2004,jpg,AK-MAK-559
3210,2004,jpg,AK-MAK-605
8313,2004,jpg,AK-MAK-615
3569,2004,jpg,AK-MAK-615
6944,2004,jpg,AK-MAK-675
3497,2004,jpg,AK-MAK-701
4081,2004,jpg,AK-MAK-71
5802,2004,jpg,AK-MAK-9
6006,2004,jpg,AK-MAK-9
4612,2004,jpg,AK-NM-12249
7537,2004,jpg,AK-RAK-1966-2
6040,2004,jpg,AK-RAK-1988-18
11168,2004,jpg,AK-MAK-239
6528,2004,jpg,AK-MAK-239
4976,2004,jpg,AK-MAK-240
4679,2004,jpg,AK-MAK-240
11461,2004,jpg,AK-MAK-1291
6576,2004,jpg,AK-MAK-1318
10138,2004,jpg,AK-MAK-162
11027,2004,jpg,AK-MAK-224
10285,2004,jpg,AK-MAK-294
12911,2004,jpg,AK-MAK-524
9099,2004,jpg,AK-MAK-682
13081,2004,jpg,AK-MAK-701
11995,2004,jpg,AK-MAK-84
14582,2004,jpg,AK-NM-6520
72236,2004,jpg,AK-RAK-1968-1-A
3314,2001,jpg,BIBL-325-A-7
2583,2001,jpg,BIBL-326-F-16
1443,2001,jpg,BIBL-34-A-13
414799,2003,jpg,BIBL-327-J-10
544900,2004,jpg,BIBL-327-J-14
397021,2004,jpg,BIBL-329-C-26
27400,2004,jpg,BIBL-323-B-15
31545,2004,jpg,BIBL-327-J-10
22326,2004,jpg,BIBL-329-B-19
14718,2004,jpg,BIBL-564-A-2
36918,2004,jpg,BIBL-F-351-E-2-3
33694,2004,jpg,BIBL-F-351-E-2-3
3253,2004,jpg,BIBL-TS-0410
2982,2004,jpg,BIBL-TS-0410
3476,2004,jpg,BIBL-TS-0410
3114,2004,jpg,BIBL-TS-0410
35744,2004,jpg,BIBL-327-J-10
23960,2002,jpg,BK-1961-102
