length,year,format,object_number
2412,2001,jpg,AK-MAK-1117
1776,2002,jpg,AK-MAK-1188
1797,2001,jpg,AK-MAK-1237
2058,2002,jpg,AK-MAK-1291
1869,2001,jpg,AK-MAK-1307
1709,2001,jpg,AK-MAK-1318
2436,2001,jpg,AK-MAK-1462
2637,2001,jpg,AK-MAK-1464-A
2013,2001,jpg,AK-MAK-156
1546,2002,jpg,AK-MAK-162
2127,2001,jpg,MAK-178
2339,2002,jpg,AK-MAK-187
2832,2001,jpg,AK-MAK-232-A
1905,2001,jpg,AK-MAK-239
2090,2001,jpg,AK-MAK-240
2300,2001,jpg,AK-MAK-247
2107,2001,jpg,AK-MAK-251
1892,2001,jpg,AK-MAK-311
1672,2001,jpg,AK-MAK-314
1897,2001,jpg,AK-MAK-51
2130,2002,jpg,AK-MAK-524-A
1622,2001,jpg,AK-MAK-559
1616,2001,jpg,AK-MAK-590
1569,2002,jpg,AK-MAK-615
2458,2001,jpg,AK-MAK-65
1807,2001,jpg,AK-MAK-675
2238,2001,jpg,AK-MAK-682
2200,2003,jpg,AK-MAK-701
2216,2001,jpg,AK-MAK-71
2388,2002,jpg,AK-MAK-84
2124,2001,jpg,AK-MAK-9
2279,2003,jpg,AK-NM-12249
2088,2001,jpg,AK-NM-6462
2102,2001,jpg,AK-NM-6520
3788,2003,jpg,AK-NM-6620
2075,2002,jpg,AK-NM-7050
2131,2002,jpg,AK-NM-7060
2137,2002,jpg,AK-NM-7088
8916,2003,jpg,AK-RAK-1968-1-A
1910,2002,jpg,AK-RAK-1988-18
1729,2001,jpg,AK-RAK-1988-2
1843,2001,jpg,AK-RAK-1989-2
1287,2003,jpg,AK-RAK-1990-17
1851,2001,jpg,AK-RAK-1990-3
1672,2001,jpg,AK-RAK-1991-10
1955,2002,jpg,AK-RAK-1992-1
2208,2002,jpg,AK-RAK-1997-1
1660,2002,jpg,AK-RAK-2000-15
3322,2002,jpg,AK-RBK-1965-88
7629,2004,jpg,AK-MAK-1231
4295,2004,jpg,AK-MAK-1271
4550,2004,jpg,AK-MAK-248
6033,2004,jpg,AK-MAK-389
2205,2004,jpg,AK-MAK-507
3210,2004,jpg,AK-MAK-605
7537,2004,jpg,AK-RAK-1966-2
11027,2004,jpg,AK-MAK-224
10285,2004,jpg,AK-MAK-294
12911,2004,jpg,AK-MAK-524
3314,2001,jpg,BIBL-325-A-7
2583,2001,jpg,BIBL-326-F-16
1443,2001,jpg,BIBL-34-A-13
414799,2003,jpg,BIBL-327-J-10
544900,2004,jpg,BIBL-327-J-14
397021,2004,jpg,BIBL-329-C-26
27400,2004,jpg,BIBL-323-B-15
22326,2004,jpg,BIBL-329-B-19
14718,2004,jpg,BIBL-564-A-2
36918,2004,jpg,BIBL-F-351-E-2-3
3253,2004,jpg,BIBL-TS-0410
23960,2002,jpg,BK-1961-102
23380,2002,jpg,BK-1961-103
9541,2004,jpg,BK-KOG-1458
2836,2001,jpg,BK-14517
2550,2001,jpg,BK-14692
1677,2003,jpg,BK-14852-A
1559,2003,jpg,BK-14915
2407,2001,jpg,BK-14980
1671,2001,jpg,BK-15116
2449,2001,jpg,BK-15117
3034,2001,jpg,BK-15119
2656,2003,jpg,BK-15337
2023,2001,jpg,BK-15378
2585,2001,jpg,BK-15396
2089,2001,jpg,BK-15397
1936,2004,jpg,BK-15438
2260,2001,jpg,BK-15784
2443,2003,jpg,BK-15982
2129,2003,jpg,BK-16019
2332,2002,jpg,BK-16035
3278,2001,jpg,BK-16089
2046,2001,jpg,BK-16117
2005,2001,jpg,BK-16127
2562,2002,jpg,BK-16384
2216,2002,jpg,BK-16431
2533,2002,jpg,BK-16444-A
2238,2002,jpg,BK-16464
2154,2001,jpg,BK-16480
2099,2001,jpg,BK-16502
1822,2001,jpg,BK-16550
2498,2003,jpg,BK-16625
2447,2002,jpg,BK-16628
2500,2002,jpg,BK-16629
2767,2002,jpg,BK-16643
2331,2001,jpg,BK-16676
2714,2002,jpg,BK-16709
2228,2001,jpg,BK-16911
2194,2002,jpg,BK-16912
1882,2003,jpg,BK-16915
1882,2001,jpg,BK-16917
2011,2001,jpg,BK-16923
1635,2001,jpg,BK-16933
1864,2001,jpg,BK-16936
1706,2001,jpg,BK-16937
1837,2001,jpg,BK-16938
2098,2002,jpg,BK-16939
2782,2002,jpg,BK-16985
3030,2001,jpg,BK-16986
1746,2001,jpg,BK-17040
2593,2001,jpg,BK-17045
1902,2001,jpg,BK-17064
