Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7,Segment 8,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,total
nl,,,,,,,,33.0,266.0,51.0,43.0,50.0,,,,,,,,5.0,561.0,1656.0,2803.0,12277.0,238.0,172.0,151917.0,96676.0,3510.0,7839.0,23148.0,56274.0,225968.0,583487.0
,collectie,,,,,,,17.0,49.0,1.0,9.0,6.0,,,,,,,,3.0,355.0,1421.0,1240.0,9714.0,132.0,119.0,151332.0,91095.0,1714.0,3683.0,10258.0,27903.0,225085.0,524136.0
,,object,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,4033.0,306276.0,310310.0
en,,,,,,,,,,,,,,,,,,,,9.0,386.0,447.0,1828.0,12528.0,423.0,139.0,1582.0,33838.0,3124.0,4184.0,6147.0,18170.0,106527.0,189332.0
,collection,,,,,,,,,,,,,,,,,,,1.0,211.0,276.0,823.0,8597.0,106.0,73.0,1134.0,26380.0,2101.0,2652.0,1298.0,5207.0,105971.0,154830.0
,rijksstudio,,,,,,,,,,,,,,,,,,,1.0,2.0,213.0,1983.0,5793.0,312.0,43.0,890.0,12613.0,2218.0,5085.0,17352.0,40574.0,,87079.0
,,,verzamelingen,,,,,,,,,,,,,,,,,,,121.0,1088.0,2515.0,34.0,,472.0,5207.0,1335.0,3418.0,10337.0,21664.0,,46191.0
,,,collections,,,,,,,,,,,,,,,,,,,81.0,689.0,3168.0,89.0,11.0,359.0,6587.0,655.0,1173.0,4596.0,12346.0,,29754.0
,,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,22735.0,22764.0
,,,creaties,,,,,,,,,,,,,,,,,,,3.0,97.0,6.0,2.0,1.0,4.0,69.0,61.0,227.0,1783.0,4756.0,,7009.0
,,,,my-first-collection,,,,,,,,,,,,,,,,1.0,,,8.0,17.0,4.0,,,56.0,36.0,196.0,1296.0,3458.0,,5072.0
,,,,mijn-eerste-verzameling,,,,,,,,,,,,,,,,,,,16.0,36.0,,,,65.0,13.0,98.0,705.0,2280.0,,3213.0
,,,route,,,,,,,,,,,,,,,,,,,,,,,,2.0,215.0,11.0,77.0,585.0,1660.0,,2550.0
,stories,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,158.0,153.0,91.0,406.0,292.0,1140.0
,,,creations,,,,,,,,,,,,,,,,,,,4.0,104.0,154.0,37.0,1.0,5.0,364.0,52.0,43.0,34.0,103.0,,901.0
,,set,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,3.0,,,,41.0,725.0,774.0
,,verzameling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,682.0,773.0
,,,story,,,,,,,,,,,,,,,,,,,,,,,,,20.0,92.0,61.0,48.0,263.0,222.0,706.0
,,,,,objecten,,,,,,,,,,,,,,,,4.0,6.0,92.0,153.0,23.0,6.0,9.0,34.0,100.0,85.0,61.0,107.0,,680.0
collectie,,,,,,,,,,,,1.0,9.0,,1.0,,,,,211.0,,,,,,,22.0,107.0,33.0,55.0,62.0,159.0,,660.0
,,,,meestermatches,,,,,,,,,,,,,,,,,2.0,1.0,12.0,14.0,,,,54.0,6.0,23.0,153.0,378.0,,643.0
,zien-en-doen,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,76.0,89.0,56.0,57.0,255.0,542.0
,my,,,,,,,,,,,,,,,,,,,,3.0,5.0,36.0,142.0,16.0,6.0,7.0,22.0,62.0,57.0,37.0,59.0,,452.0
,,collections,,,,,,,,,,,,,,,,,,,3.0,5.0,36.0,142.0,16.0,6.0,7.0,22.0,62.0,57.0,37.0,59.0,,452.0
,,,,flowers,,,,,,,,,,,,,,,,,,1.0,12.0,36.0,1.0,,,51.0,11.0,23.0,83.0,202.0,,420.0
,whats-on,,,,,,,,,,,,,,,,,,,,18.0,2.0,7.0,21.0,7.0,2.0,5.0,12.0,39.0,37.0,50.0,47.0,165.0,412.0
